Local Government ​Area,Lat,Long,State,Mar-26,Mar-27,Mar-28,Notes,NewToday,Label
ACT,-35.45000,148.98000,ACT,53,62,71,Territory,9,71
Albury,-36.02660,146.97042,NSW,2,6,6,,0,6
Ballina,-28.85289,153.48615,NSW,2,2,2,,0,1-4
Bathurst Regional,-33.43014,149.52563,NSW,6,7,7,,0,7
Bayside,-37.94184,145.01815,NSW,16,17,19,,2,19
Bega Valley,-36.82594,149.71757,NSW,5,7,8,,1,8
Blacktown,-33.74133,150.86435,NSW,30,34,40,,6,40
Blayney,-33.59433,149.14206,NSW,2,2,2,,0,1-4
Blue Mountains,-33.69754,150.41114,NSW,12,13,15,,2,15
Burwood,-33.88369,151.10315,NSW,2,2,2,,0,1-4
Byron,-28.60417,153.48251,NSW,5,5,5,,0,5
Cabonne,-33.15300,148.75410,NSW,2,2,2,,0,1-4
Camden,-34.00878,150.72402,NSW,15,19,22,,3,22
Campbelltown (NSW),-34.08334,150.84577,NSW,12,16,19,,3,19
Canada Bay,-33.85350,151.11483,NSW,6,8,9,,1,9
Canterbury-Bankstown,-33.92351,151.03732,NSW,41,49,53,,4,53
Central Coast (NSW),-33.30799,151.28549,NSW,44,57,68,,11,68
Cessnock,-32.92507,151.22490,NSW,9,11,12,,1,12
Clarence Valley,-29.68174,152.75115,NSW,2,2,7,,5,7
Coffs Harbour,-30.18904,153.03983,NSW,2,2,5,,3,5
Cootamundra-Gundagai Regional,-34.80000,148.11667,NSW,2,2,2,,0,1-4
Cumberland,-33.84256,150.98763,NSW,24,25,31,,6,31
Dubbo Regional,-32.25000,148.60000,NSW,2,5,5,,0,5
Dungog,-32.34956,151.60829,NSW,2,2,2,,0,1-4
Eurobodalla,-35.94516,149.94705,NSW,2,2,6,,4,6
Fairfield,-33.86563,150.89542,NSW,6,8,8,,0,8
Federation,-35.49707,146.27136,NSW,2,2,5,,3,5
Georges River,-33.97104,151.08636,NSW,10,13,18,,5,18
Glen Innes Severn,-29.64499,151.90304,NSW,2,2,2,,0,1-4
Goulburn Mulwaree,-34.87604,149.81349,NSW,5,6,6,,0,6
Greater Hume Shire,-35.75028,147.17184,NSW,2,2,2,,0,1-4
Griffith,-34.30041,146.00359,NSW,2,2,2,,0,1-4
Hawkesbury,-33.33478,150.77324,NSW,12,14,17,,3,17
Hornsby,-33.58393,151.08941,NSW,31,34,37,,3,37
Hunters Hill,-33.83335,151.14513,NSW,7,11,11,,0,11
Inner West,-33.89150,151.15497,NSW,29,34,44,,10,44
Inverell,-29.35986,151.06761,NSW,2,2,2,,0,1-4
Kempsey,-30.95155,152.64473,NSW,2,2,2,,0,1-4
Kiama,-34.67887,150.75622,NSW,2,2,2,,0,1-4
Ku-ring-gai,-33.73461,151.15091,NSW,28,29,35,,6,35
Lake Macquarie,-33.03886,151.53018,NSW,20,24,27,,3,27
Lane Cove,-33.81999,151.16690,NSW,19,19,21,,2,21
Lismore,-28.75617,153.27066,NSW,2,2,2,,0,1-4
Lithgow,-33.27767,150.17896,NSW,2,2,2,,0,1-4
Liverpool,-33.93597,150.82521,NSW,17,22,24,,2,24
Liverpool Plains,-31.55062,150.43842,NSW,2,2,2,,0,1-4
Maitland,-32.71081,151.54976,NSW,10,15,19,,4,19
Mid-Coast,-32.01533,152.09572,NSW,18,23,27,,4,27
Mid-Western Regional,-32.59381,149.74242,NSW,2,2,2,,0,1-4
Mosman,-33.82908,151.24464,NSW,23,26,28,,2,28
Murrumbidgee,-34.94960,145.72922,NSW,0,0,2,,2,1-4
Muswellbrook,-32.43992,150.63030,NSW,0,0,2,,2,1-4
Nambucca,-30.68756,152.76894,NSW,2,2,2,,0,1-4
